,Name,Date (YYYYMMDD),Protocol,Zoom,Approx location from anterior mid window,
8,Beta,20211029,Bar_Tone_LR,1.3,V1ish binocular?,
12,Beta,20211110,Bar_Tone_LR 2,1.3,V1ish binocular?,
22,Beta (Background to 0),20211118,Bar_Tone_LR 3,1.3,V1ish binocular?,
34,Beta (Background to 0),20211128,Bar_Tone_LR 4,1.3,V1ish binocular?,
10,Delta,20211109,Bar_Tone_LR,1.6,Lateral slightly anterior,
24,Delta,20211118,Bar_Tone_LR 2,1.6,V1ish binocular?,
32,Delta,20211125,Bar_Tone_LR 3,1.6,V1ish binocular?,
44,Delta,20211210,Bar_Tone_LR 4,1.6,V1ish binocular?,
126,Dieciceis,20230725,Bar_Tone_LR2,1.6,Location 2 - Dorsal,
114,Diez,20220908,Bar_Tone_LR,1.6,Anterior,
120,Diez,20221111,Bar_Tone_LR,1.6,Anterior,
121,Diez,20221111,Bar_Tone_LR,1.6,Location 3 - V1,
0,Duo,20211022,Bar_Tone_LR,1.3,Anteriolateral,
59,Duo,20211222,Bar_Tone_LR,1.3,Anteriolateral,
68,Duo,20211230,Bar_Tone_LR 2,1.3,Anteriolateral,
76,Duo,20220113,Bar_Tone_LR 3,1.3,Anteriolateral,
85,Duo,20220121,Bar_Tone_LR 4,1.3,Anteriolateral,
86,Duo,20220121,Bar_Tone_LR 4,1.3,Anteriolateral,
17,Epsilon,20211111,Bar_Tone_LR,1.3,Feel like binocular V1 middleish,
27,Epsilon,20211121,Bar_Tone_LR 2,1.3,Feel like binocular V1 middleish,
36,Epsilon,20211128,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish,
46,Epsilon,20211210,Bar_Tone_LR 4,1.3,Feel like binocular V1 middleish,
19,Eta,20211111,Bar_Tone_LR,1,Feel like binocular V1 middleish,
29,Eta,20211121,Bar_Tone_LR,1,Feel like binocular V1 middleish,
38,Eta,20211201,Bar_Tone_LR 3,1,Feel like binocular V1 middleish,
48,Eta,20211210,Bar_Tone_LR 4,1,Feel like binocular V1 middleish,
117,Kappa,20220928,Bar_Tone_LR,1.6,Location 1 - totally anterior,
118,Kappa,20221102,Bar_Tone_LR,1.6,Location 1 - totally anterior,
108,Nueve,20220804,Bar_Tone_LR,1.6,medial mid V1ish,
112,Nueve,20220907,Bar_Tone_LR,1.6,medial mid V1ish,
107,Ocho,20220804,Bar_Tone_LR,1.6,RLish,
111,Ocho,20220907,Bar_Tone_LR,1.6,RLish,
123,Once,20230721,Bar_Tone_LR,1.6,Location 2 - anterior,
101,Poli,20220217,Bar_Tone_LR,1.6,V1 complete anterior medialish,
103,Poli,20220225,Bar_Tone_LR,1.6,V1 complete anterior medialish,
104,Poli,20220304,Bar_Tone_LR,1.6,V1 complete anterior medialish,
105,Poli,20220317,Bar_Tone_LR,1.6,V1 complete anterior medialish,
5,Quatro,20211027,Bar_Tone_LR,1.3,binocular V1ish,
93,Quatro,20220128,Bar_Tone_LR,1.3,V1 mid anterior,
97,Quatro,20220202,Bar_Tone_LR,1.3,V1 mid anterior,
99,Quatro,20220208,Bar_Tone_LR,1.3,V1 mid anterior,
102,Quatro,20220222,Bar_Tone_LR,1.3,V1 mid anterior,
124,Quince,20230725,Bar_Tone_LR,1.6,Location 2 - V1,
125,Quince,20230725,Bar_Tone_LR2,1.6,Location 1 - Dorsal,
106,Siette,20220802,Bar_Tone_LR,1.6,Lateral Anerior V1,
110,Siette,20220906,Bar_Tone_LR,1.6,Lateral Anerior V1,
69,Theta,20220102,Bar_Tone_LR,1.3,Anteriolateral,
72,Theta,20220107,Bar_Tone_LR,1.3,Anteriolateral,
74,Theta,20220110,Bar_Tone_LR,1.3,Anteriolateral,
79,Theta,20220114,Bar_Tone_LR,1.3,Anteriolateral,
90,Theta,20220126,Bar_Tone_LR 4,1.3,Anteriolateral,
122,Trece,20230721,Bar_Tone_LR,1.6,Location 3 - V1,
4,Tres,20211027,Bar_Tone_LR,1.3,binocular V1ish. Mouse looks unhappy at end.,
82,Tres,20220119,Bar_Tone_LR,1,V1 anterior,
88,Tres,20220125,Bar_Tone_LR,1,V1 anterior,
95,Tres,20220201,Bar_Tone_LR,1,V1 anterior,
100,Tres,20220215,Bar_Tone_LR,1,V1 anterior,
40,Zeta,20211202,Bar_Tone_LR,1.3,Feel like binocular V1 middleish,
42,Zeta,20211202,Bar_Tone_LR,1.3,Directly posterior from 20210911 recording,
49,Zeta,20211211,Bar_Tone_LR 2,1.3,Feel like binocular V1 middleish,
51,Zeta,20211211,Bar_Tone_LR 2,1.3,Directly posterior from 20210911 recording,
53,Zeta,20211217,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish,
55,Zeta,20211219,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish,
57,Zeta,20211221,Bar_Tone_LR 3,1.3,Directly posterior from 20210911 recording,
62,Zeta,20211229,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish,
64,Zeta,20211229,Bar_Tone_LR 3,1.3,Directly posterior from 20210911 recording,
66,Zeta,20211230,FAM 4,1.3,Feel like binocular V1 middleish,