Name,Date (YYYYMMDD),Protocol,Zoom,Approx location from anterior mid window
Duo,20211022,Bar_Tone_LR,1.3,Anteriolateral
,,,,
,,,,
,,,,
Tres,20211027,Bar_Tone_LR,1.3,binocular V1ish. Mouse looks unhappy at end.
Quatro,20211027,Bar_Tone_LR,1.3,binocular V1ish
,,,,
,,,,
Beta,20211029,Bar_Tone_LR,1.3,V1ish binocular?
,,,,
Delta,20211109,Bar_Tone_LR,1.6,Lateral slightly anterior
,,,,
Beta,20211110,Bar_Tone_LR 2,1.3,V1ish binocular?
,,,,
,,,,
,,,,
,,,,
Epsilon,20211111,Bar_Tone_LR,1.3,Feel like binocular V1 middleish
,,,,
Eta,20211111,Bar_Tone_LR,1.0,Feel like binocular V1 middleish
,,,,
,,,,
Beta (Background to 0),20211118,Bar_Tone_LR 3,1.3,V1ish binocular?
,,,,
Delta,20211118,Bar_Tone_LR 2,1.6,V1ish binocular?
,,,,
,,,,
Epsilon,20211121,Bar_Tone_LR 2,1.3,Feel like binocular V1 middleish
,,,,
Eta,20211121,Bar_Tone_LR,1.0,Feel like binocular V1 middleish
,,,,
,,,,
Delta,20211125,Bar_Tone_LR 3,1.6,V1ish binocular?
,,,,
Beta (Background to 0),20211128,Bar_Tone_LR 4,1.3,V1ish binocular?
,,,,
Epsilon,20211128,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish
,,,,
Eta,20211201,Bar_Tone_LR 3,1.0,Feel like binocular V1 middleish
,,,,
Zeta,20211202,Bar_Tone_LR,1.3,Feel like binocular V1 middleish
,,,,
Zeta,20211202,Bar_Tone_LR,1.3,Directly posterior from 20210911 recording
,,,,
Delta,20211210,Bar_Tone_LR 4,1.6,V1ish binocular?
,,,,
Epsilon,20211210,Bar_Tone_LR 4,1.3,Feel like binocular V1 middleish
,,,,
Eta,20211210,Bar_Tone_LR 4,1.0,Feel like binocular V1 middleish
Zeta,20211211,Bar_Tone_LR 2,1.3,Feel like binocular V1 middleish
,,,,
Zeta,20211211,Bar_Tone_LR 2,1.3,Directly posterior from 20210911 recording
,,,,
Zeta,20211217,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish
,,,,
Zeta,20211219,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish
,,,,
Zeta,20211221,Bar_Tone_LR 3,1.3,Directly posterior from 20210911 recording
,,,,
Duo,20211222,Bar_Tone_LR,1.3,Anteriolateral
,,,,
,,,,
Zeta,20211229,Bar_Tone_LR 3,1.3,Feel like binocular V1 middleish
,,,,
Zeta,20211229,Bar_Tone_LR 3,1.3,Directly posterior from 20210911 recording
,,,,
Zeta,20211230,FAM 4,1.3,Feel like binocular V1 middleish
,,,,
Duo,20211230,Bar_Tone_LR 2,1.3,Anteriolateral
Theta,20220102,Bar_Tone_LR,1.3,Anteriolateral
,,,,
,,,,
Theta,20220107,Bar_Tone_LR,1.3,Anteriolateral
,,,,
Theta,20220110,Bar_Tone_LR,1.3,Anteriolateral
,,,,
Duo,20220113,Bar_Tone_LR 3,1.3,Anteriolateral
,,,,
,,,,
Theta,20220114,Bar_Tone_LR,1.3,Anteriolateral
,,,,
,,,,
Tres,20220119,Bar_Tone_LR,1.0,V1 anterior
,,,,
,,,,
Duo,20220121,Bar_Tone_LR 4,1.3,Anteriolateral
Duo,20220121,Bar_Tone_LR 4,1.3,Anteriolateral
,,,,
Tres,20220125,Bar_Tone_LR,1.0,V1 anterior
,,,,
Theta,20220126,Bar_Tone_LR 4,1.3,Anteriolateral
,,,,
,,,,
Quatro,20220128,Bar_Tone_LR,1.3,V1 mid anterior
,,,,
Tres,20220201,Bar_Tone_LR,1.0,V1 anterior
,,,,
Quatro,20220202,Bar_Tone_LR,1.3,V1 mid anterior
,,,,
Quatro,20220208,Bar_Tone_LR,1.3,V1 mid anterior
Tres,20220215,Bar_Tone_LR,1.0,V1 anterior
Poli,20220217,Bar_Tone_LR,1.6,V1 complete anterior medialish
Quatro,20220222,Bar_Tone_LR,1.3,V1 mid anterior
Poli,20220225,Bar_Tone_LR,1.6,V1 complete anterior medialish
Poli,20220304,Bar_Tone_LR,1.6,V1 complete anterior medialish
Poli,20220317,Bar_Tone_LR,1.6,V1 complete anterior medialish
Siette,20220802,Bar_Tone_LR,1.6,Lateral Anerior V1
Ocho,20220804,Bar_Tone_LR,1.6,RLish
Nueve,20220804,Bar_Tone_LR,1.6,medial mid V1ish
,,,,
Siette,20220906,Bar_Tone_LR,1.6,Lateral Anerior V1
Ocho,20220907,Bar_Tone_LR,1.6,RLish
Nueve,20220907,Bar_Tone_LR,1.6,medial mid V1ish
,,,,
Diez,20220908,Bar_Tone_LR,1.6,Anterior
,,,,
,,,,
Kappa,20220928,Bar_Tone_LR,1.6,Location 1 - totally anterior
Kappa,20221102,Bar_Tone_LR,1.6,Location 1 - totally anterior
,,,,
Diez,20221111,Bar_Tone_LR,1.6,Anterior
Diez,20221111,Bar_Tone_LR,1.6,Location 3 - V1
Trece,20230721,Bar_Tone_LR,1.6,Location 3 - V1
Once,20230721,Bar_Tone_LR,1.6,Location 2 - anterior
Quince,20230725,Bar_Tone_LR,1.6,Location 2 - V1
Quince,20230725,Bar_Tone_LR2,1.6,Location 1 - Dorsal
Dieciceis,20230725,Bar_Tone_LR2,1.6,Location 2 - Dorsal
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,